From	To	Species	Gene Name
DHX9	1660	Homo sapiens	DExH-box helicase 9(DHX9)
TMEM63C	57156	Homo sapiens	transmembrane protein 63C(TMEM63C)
MYCBP2	23077	Homo sapiens	MYC binding protein 2(MYCBP2)
CWF19L2	143884	Homo sapiens	CWF19 like cell cycle control factor 2(CWF19L2)
ZBTB1	22890	Homo sapiens	zinc finger and BTB domain containing 1(ZBTB1)
ZBTB4	57659	Homo sapiens	zinc finger and BTB domain containing 4(ZBTB4)
ACTR3B	57180	Homo sapiens	actin related protein 3B(ACTR3B)
MED12L	116931	Homo sapiens	mediator complex subunit 12L(MED12L)
TTBK1	84630	Homo sapiens	tau tubulin kinase 1(TTBK1)
TTBK2	146057	Homo sapiens	tau tubulin kinase 2(TTBK2)
NKAIN2	154215	Homo sapiens	sodium/potassium transporting ATPase interacting 2(NKAIN2)
APOO	79135	Homo sapiens	apolipoprotein O(APOO)
SYNGR1	9145	Homo sapiens	synaptogyrin 1(SYNGR1)
MRNIP	51149	Homo sapiens	MRN complex interacting protein(MRNIP)
NKAIN3	286183	Homo sapiens	sodium/potassium transporting ATPase interacting 3(NKAIN3)
HLTF	6596	Homo sapiens	helicase like transcription factor(HLTF)
SARAF	51669	Homo sapiens	store-operated calcium entry associated regulatory factor(SARAF)
KCNN2	3781	Homo sapiens	potassium calcium-activated channel subfamily N member 2(KCNN2)
KCNN3	3782	Homo sapiens	potassium calcium-activated channel subfamily N member 3(KCNN3)
DECR1	1666	Homo sapiens	2,4-dienoyl-CoA reductase 1(DECR1)
B4GALNT4	338707	Homo sapiens	beta-1,4-N-acetyl-galactosaminyltransferase 4(B4GALNT4)
BBS2	583	Homo sapiens	Bardet-Biedl syndrome 2(BBS2)
BBS1	582	Homo sapiens	Bardet-Biedl syndrome 1(BBS1)
SPHKAP	80309	Homo sapiens	SPHK1 interactor, AKAP domain containing(SPHKAP)
DELE1	9812	Homo sapiens	DAP3 binding cell death enhancer 1(DELE1)
SUCO	51430	Homo sapiens	SUN domain containing ossification factor(SUCO)
NBEAL1	65065	Homo sapiens	neurobeachin like 1(NBEAL1)
CPLANE1	65250	Homo sapiens	ciliogenesis and planar polarity effector complex subunit 1(CPLANE1)
BRI3BP	140707	Homo sapiens	BRI3 binding protein(BRI3BP)
PTK2	5747	Homo sapiens	protein tyrosine kinase 2(PTK2)
MED13L	23389	Homo sapiens	mediator complex subunit 13L(MED13L)
MSRA	4482	Homo sapiens	methionine sulfoxide reductase A(MSRA)
POLA1	5422	Homo sapiens	DNA polymerase alpha 1, catalytic subunit(POLA1)
PEX5L	51555	Homo sapiens	peroxisomal biogenesis factor 5 like(PEX5L)
NDUFAF6	137682	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 6(NDUFAF6)
MAGI2-AS3	100505881	Homo sapiens	MAGI2 antisense RNA 3(MAGI2-AS3)
NDUFAF5	79133	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 5(NDUFAF5)
NDUFAF2	91942	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 2(NDUFAF2)
GRB2	2885	Homo sapiens	growth factor receptor bound protein 2(GRB2)
FBXL2	25827	Homo sapiens	F-box and leucine rich repeat protein 2(FBXL2)
FBXL5	26234	Homo sapiens	F-box and leucine rich repeat protein 5(FBXL5)
FBXL4	26235	Homo sapiens	F-box and leucine rich repeat protein 4(FBXL4)
FBXL7	23194	Homo sapiens	F-box and leucine rich repeat protein 7(FBXL7)
SPAG16	79582	Homo sapiens	sperm associated antigen 16(SPAG16)
MRPS16	51021	Homo sapiens	mitochondrial ribosomal protein S16(MRPS16)
HIBADH	11112	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)
GRIK5	2901	Homo sapiens	glutamate ionotropic receptor kainate type subunit 5(GRIK5)
GRIK3	2899	Homo sapiens	glutamate ionotropic receptor kainate type subunit 3(GRIK3)
GRIK4	2900	Homo sapiens	glutamate ionotropic receptor kainate type subunit 4(GRIK4)
GRIK1	2897	Homo sapiens	glutamate ionotropic receptor kainate type subunit 1(GRIK1)
GRIK2	2898	Homo sapiens	glutamate ionotropic receptor kainate type subunit 2(GRIK2)
TFB1M	51106	Homo sapiens	transcription factor B1, mitochondrial(TFB1M)
COX7C	1350	Homo sapiens	cytochrome c oxidase subunit 7C(COX7C)
PTMS	5763	Homo sapiens	parathymosin(PTMS)
PPP3CA	5530	Homo sapiens	protein phosphatase 3 catalytic subunit alpha(PPP3CA)
PCM1	5108	Homo sapiens	pericentriolar material 1(PCM1)
PPP3CB	5532	Homo sapiens	protein phosphatase 3 catalytic subunit beta(PPP3CB)
KCNT1	57582	Homo sapiens	potassium sodium-activated channel subfamily T member 1(KCNT1)
PCLO	27445	Homo sapiens	piccolo presynaptic cytomatrix protein(PCLO)
PPP3CC	5533	Homo sapiens	protein phosphatase 3 catalytic subunit gamma(PPP3CC)
KCNT2	343450	Homo sapiens	potassium sodium-activated channel subfamily T member 2(KCNT2)
SUFU	51684	Homo sapiens	SUFU negative regulator of hedgehog signaling(SUFU)
UIMC1	51720	Homo sapiens	ubiquitin interaction motif containing 1(UIMC1)
CNTRL	11064	Homo sapiens	centriolin(CNTRL)
RNF213-AS1	100294362	Homo sapiens	RNF213 antisense RNA 1(RNF213-AS1)
BBS9	27241	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
RAC1	5879	Homo sapiens	Rac family small GTPase 1(RAC1)
BBS7	55212	Homo sapiens	Bardet-Biedl syndrome 7(BBS7)
MCF2L2	23101	Homo sapiens	MCF.2 cell line derived transforming sequence-like 2(MCF2L2)
BBS4	585	Homo sapiens	Bardet-Biedl syndrome 4(BBS4)
GIT1	28964	Homo sapiens	GIT ArfGAP 1(GIT1)
MRPS28	28957	Homo sapiens	mitochondrial ribosomal protein S28(MRPS28)
ZHX2	22882	Homo sapiens	zinc fingers and homeoboxes 2(ZHX2)
PCYT1A	5130	Homo sapiens	phosphate cytidylyltransferase 1A, choline(PCYT1A)
ZHX3	23051	Homo sapiens	zinc fingers and homeoboxes 3(ZHX3)
MRPS27	23107	Homo sapiens	mitochondrial ribosomal protein S27(MRPS27)
MRPS25	64432	Homo sapiens	mitochondrial ribosomal protein S25(MRPS25)
GAB1	2549	Homo sapiens	GRB2 associated binding protein 1(GAB1)
PRPF40B	25766	Homo sapiens	pre-mRNA processing factor 40 homolog B(PRPF40B)
PRPF40A	55660	Homo sapiens	pre-mRNA processing factor 40 homolog A(PRPF40A)
GAB2	9846	Homo sapiens	GRB2 associated binding protein 2(GAB2)
SYP	6855	Homo sapiens	synaptophysin(SYP)
ZHX1	11244	Homo sapiens	zinc fingers and homeoboxes 1(ZHX1)
CTTNBP2NL	55917	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
RNF144A	9781	Homo sapiens	ring finger protein 144A(RNF144A)
CNKSR2	22866	Homo sapiens	connector enhancer of kinase suppressor of Ras 2(CNKSR2)
TOX2	84969	Homo sapiens	TOX high mobility group box family member 2(TOX2)
RAP2A	5911	Homo sapiens	RAP2A, member of RAS oncogene family(RAP2A)
ARHGEF9	23229	Homo sapiens	Cdc42 guanine nucleotide exchange factor 9(ARHGEF9)
SLTM	79811	Homo sapiens	SAFB like transcription modulator(SLTM)
PITPNM3	83394	Homo sapiens	PITPNM family member 3(PITPNM3)
PITPNM2	57605	Homo sapiens	phosphatidylinositol transfer protein membrane associated 2(PITPNM2)
CNKSR3	154043	Homo sapiens	CNKSR family member 3(CNKSR3)
TAX1BP1	8887	Homo sapiens	Tax1 binding protein 1(TAX1BP1)
TLCD4	148534	Homo sapiens	TLC domain containing 4(TLCD4)
ARHGEF3	50650	Homo sapiens	Rho guanine nucleotide exchange factor 3(ARHGEF3)
ARHGEF4	50649	Homo sapiens	Rho guanine nucleotide exchange factor 4(ARHGEF4)
FAM193B	54540	Homo sapiens	family with sequence similarity 193 member B(FAM193B)
MICU3	286097	Homo sapiens	mitochondrial calcium uptake family member 3(MICU3)
FAM193A	8603	Homo sapiens	family with sequence similarity 193 member A(FAM193A)
ARHGEF2	9181	Homo sapiens	Rho/Rac guanine nucleotide exchange factor 2(ARHGEF2)
MICU2	221154	Homo sapiens	mitochondrial calcium uptake 2(MICU2)
ARHGEF7	8874	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
MICU1	10367	Homo sapiens	mitochondrial calcium uptake 1(MICU1)
PTMA	5757	Homo sapiens	prothymosin alpha(PTMA)
KIZ	55857	Homo sapiens	kizuna centrosomal protein(KIZ)
SOX2-OT	347689	Homo sapiens	SOX2 overlapping transcript(SOX2-OT)
ATPAF1	64756	Homo sapiens	ATP synthase mitochondrial F1 complex assembly factor 1(ATPAF1)
DYNC1I2	1781	Homo sapiens	dynein cytoplasmic 1 intermediate chain 2(DYNC1I2)
MRPS31	10240	Homo sapiens	mitochondrial ribosomal protein S31(MRPS31)
PRICKLE2	166336	Homo sapiens	prickle planar cell polarity protein 2(PRICKLE2)
GPALPP1	55425	Homo sapiens	GPALPP motifs containing 1(GPALPP1)
PRICKLE1	144165	Homo sapiens	prickle planar cell polarity protein 1(PRICKLE1)
PTPA	5524	Homo sapiens	protein phosphatase 2 phosphatase activator(PTPA)
PCNP	57092	Homo sapiens	PEST proteolytic signal containing nuclear protein(PCNP)
ZFP14	57677	Homo sapiens	ZFP14 zinc finger protein(ZFP14)
SH3BGRL	6451	Homo sapiens	SH3 domain binding glutamate rich protein like(SH3BGRL)
PCNT	5116	Homo sapiens	pericentrin(PCNT)
DYNC1I1	1780	Homo sapiens	dynein cytoplasmic 1 intermediate chain 1(DYNC1I1)
MAP3K2	10746	Homo sapiens	mitogen-activated protein kinase kinase kinase 2(MAP3K2)
GIT2	9815	Homo sapiens	GIT ArfGAP 2(GIT2)
DYNC1H1	1778	Homo sapiens	dynein cytoplasmic 1 heavy chain 1(DYNC1H1)
MAP3K3	4215	Homo sapiens	mitogen-activated protein kinase kinase kinase 3(MAP3K3)
SORT1	6272	Homo sapiens	sortilin 1(SORT1)
GAD1	2571	Homo sapiens	glutamate decarboxylase 1(GAD1)
GAD2	2572	Homo sapiens	glutamate decarboxylase 2(GAD2)
KLHL2	11275	Homo sapiens	kelch like family member 2(KLHL2)
KLHL3	26249	Homo sapiens	kelch like family member 3(KLHL3)
KLHL4	56062	Homo sapiens	kelch like family member 4(KLHL4)
COX6C	1345	Homo sapiens	cytochrome c oxidase subunit 6C(COX6C)
APTX	54840	Homo sapiens	aprataxin(APTX)
PEX14	5195	Homo sapiens	peroxisomal biogenesis factor 14(PEX14)
GRIN1	2902	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 1(GRIN1)
SGSM1	129049	Homo sapiens	small G protein signaling modulator 1(SGSM1)
VMP1	81671	Homo sapiens	vacuole membrane protein 1(VMP1)
SEC23IP	11196	Homo sapiens	SEC23 interacting protein(SEC23IP)
KLHL5	51088	Homo sapiens	kelch like family member 5(KLHL5)
SGSM3	27352	Homo sapiens	small G protein signaling modulator 3(SGSM3)
KLHL7	55975	Homo sapiens	kelch like family member 7(KLHL7)
SGSM2	9905	Homo sapiens	small G protein signaling modulator 2(SGSM2)
CFAP161	161502	Homo sapiens	cilia and flagella associated protein 161(CFAP161)
CACHD1	57685	Homo sapiens	cache domain containing 1(CACHD1)
NEK10	152110	Homo sapiens	NIMA related kinase 10(NEK10)
TACC1	6867	Homo sapiens	transforming acidic coiled-coil containing protein 1(TACC1)
TACC2	10579	Homo sapiens	transforming acidic coiled-coil containing protein 2(TACC2)
ACTR10	55860	Homo sapiens	actin related protein 10(ACTR10)
GRINA	2907	Homo sapiens	glutamate ionotropic receptor NMDA type subunit associated protein 1(GRINA)
NEK11	79858	Homo sapiens	NIMA related kinase 11(NEK11)
DENND5B	160518	Homo sapiens	DENN domain containing 5B(DENND5B)
PRDM2	7799	Homo sapiens	PR/SET domain 2(PRDM2)
CELSR2	1952	Homo sapiens	cadherin EGF LAG seven-pass G-type receptor 2(CELSR2)
ETS2	2114	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
IGF1R	3480	Homo sapiens	insulin like growth factor 1 receptor(IGF1R)
GRIP1	23426	Homo sapiens	glutamate receptor interacting protein 1(GRIP1)
PPIP5K1	9677	Homo sapiens	diphosphoinositol pentakisphosphate kinase 1(PPIP5K1)
GNPTAB	79158	Homo sapiens	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta(GNPTAB)
ZNF83	55769	Homo sapiens	zinc finger protein 83(ZNF83)
PPIP5K2	23262	Homo sapiens	diphosphoinositol pentakisphosphate kinase 2(PPIP5K2)
LINC00937	389634	Homo sapiens	long intergenic non-protein coding RNA 937(LINC00937)
ENPP2	5168	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 2(ENPP2)
DENND5A	23258	Homo sapiens	DENN domain containing 5A(DENND5A)
FAM3C	10447	Homo sapiens	FAM3 metabolism regulating signaling molecule C(FAM3C)
TMOD1	7111	Homo sapiens	tropomodulin 1(TMOD1)
PCID2	55795	Homo sapiens	PCI domain containing 2(PCID2)
FBXW11	23291	Homo sapiens	F-box and WD repeat domain containing 11(FBXW11)
TMOD3	29766	Homo sapiens	tropomodulin 3(TMOD3)
ACOT11	26027	Homo sapiens	acyl-CoA thioesterase 11(ACOT11)
TMOD2	29767	Homo sapiens	tropomodulin 2(TMOD2)
ADAM11	4185	Homo sapiens	ADAM metallopeptidase domain 11(ADAM11)
TTC7B	145567	Homo sapiens	tetratricopeptide repeat domain 7B(TTC7B)
ADAM10	102	Homo sapiens	ADAM metallopeptidase domain 10(ADAM10)
DNAJB14	79982	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B14(DNAJB14)
SDHC	6391	Homo sapiens	succinate dehydrogenase complex subunit C(SDHC)
TTC7A	57217	Homo sapiens	tetratricopeptide repeat domain 7A(TTC7A)
SDHB	6390	Homo sapiens	succinate dehydrogenase complex iron sulfur subunit B(SDHB)
GRIP2	80852	Homo sapiens	glutamate receptor interacting protein 2(GRIP2)
DHDDS	79947	Homo sapiens	dehydrodolichyl diphosphate synthase subunit(DHDDS)
ADAM17	6868	Homo sapiens	ADAM metallopeptidase domain 17(ADAM17)
ZNF91	7644	Homo sapiens	zinc finger protein 91(ZNF91)
PSPC1	55269	Homo sapiens	paraspeckle component 1(PSPC1)
DENND6B	414918	Homo sapiens	DENN domain containing 6B(DENND6B)
DENND6A	201627	Homo sapiens	DENN domain containing 6A(DENND6A)
RAF1	5894	Homo sapiens	Raf-1 proto-oncogene, serine/threonine kinase(RAF1)
DIPK1A	388650	Homo sapiens	divergent protein kinase domain 1A(DIPK1A)
TSG101	7251	Homo sapiens	tumor susceptibility 101(TSG101)
UBA6	55236	Homo sapiens	ubiquitin like modifier activating enzyme 6(UBA6)
SLC41A2	84102	Homo sapiens	solute carrier family 41 member 2(SLC41A2)
UBA5	79876	Homo sapiens	ubiquitin like modifier activating enzyme 5(UBA5)
PLD5	200150	Homo sapiens	phospholipase D family member 5(PLD5)
HTRA1	5654	Homo sapiens	HtrA serine peptidase 1(HTRA1)
PLD1	5337	Homo sapiens	phospholipase D1(PLD1)
NUP160	23279	Homo sapiens	nucleoporin 160(NUP160)
PLD3	23646	Homo sapiens	phospholipase D family member 3(PLD3)
CNN3	1266	Homo sapiens	calponin 3(CNN3)
RAI1	10743	Homo sapiens	retinoic acid induced 1(RAI1)
GRK3	157	Homo sapiens	G protein-coupled receptor kinase 3(GRK3)
GRK5	2869	Homo sapiens	G protein-coupled receptor kinase 5(GRK5)
GRK4	2868	Homo sapiens	G protein-coupled receptor kinase 4(GRK4)
PIBF1	10464	Homo sapiens	progesterone immunomodulatory binding factor 1(PIBF1)
CNTLN	54875	Homo sapiens	centlein(CNTLN)
TCAF1	9747	Homo sapiens	TRPM8 channel associated factor 1(TCAF1)
AUTS2	26053	Homo sapiens	activator of transcription and developmental regulator AUTS2(AUTS2)
CNTN5	53942	Homo sapiens	contactin 5(CNTN5)
DENND4A	10260	Homo sapiens	DENN domain containing 4A(DENND4A)
CNTN6	27255	Homo sapiens	contactin 6(CNTN6)
HULC	728655	Homo sapiens	hepatocellular carcinoma up-regulated long non-coding RNA(HULC)
DENND4C	55667	Homo sapiens	DENN domain containing 4C(DENND4C)
NUP153	9972	Homo sapiens	nucleoporin 153(NUP153)
FAM199X	139231	Homo sapiens	family with sequence similarity 199, X-linked(FAM199X)
IGF2R	3482	Homo sapiens	insulin like growth factor 2 receptor(IGF2R)
SDK1	221935	Homo sapiens	sidekick cell adhesion molecule 1(SDK1)
AHI1	54806	Homo sapiens	Abelson helper integration site 1(AHI1)
FGF14	2259	Homo sapiens	fibroblast growth factor 14(FGF14)
UBA3	9039	Homo sapiens	ubiquitin like modifier activating enzyme 3(UBA3)
CNTN1	1272	Homo sapiens	contactin 1(CNTN1)
UBA2	10054	Homo sapiens	ubiquitin like modifier activating enzyme 2(UBA2)
CNTN2	6900	Homo sapiens	contactin 2(CNTN2)
CNTN3	5067	Homo sapiens	contactin 3(CNTN3)
CNTN4	152330	Homo sapiens	contactin 4(CNTN4)
FGF13	2258	Homo sapiens	fibroblast growth factor 13(FGF13)
FGF12	2257	Homo sapiens	fibroblast growth factor 12(FGF12)
SDK2	54549	Homo sapiens	sidekick cell adhesion molecule 2(SDK2)
PODXL2	50512	Homo sapiens	podocalyxin like 2(PODXL2)
MYSM1	114803	Homo sapiens	Myb like, SWIRM and MPN domains 1(MYSM1)
PITPNC1	26207	Homo sapiens	phosphatidylinositol transfer protein cytoplasmic 1(PITPNC1)
GRM1	2911	Homo sapiens	glutamate metabotropic receptor 1(GRM1)
TTC27	55622	Homo sapiens	tetratricopeptide repeat domain 27(TTC27)
TTC28	23331	Homo sapiens	tetratricopeptide repeat domain 28(TTC28)
GRM3	2913	Homo sapiens	glutamate metabotropic receptor 3(GRM3)
IFT52	51098	Homo sapiens	intraflagellar transport 52(IFT52)
GRM5	2915	Homo sapiens	glutamate metabotropic receptor 5(GRM5)
LASP1	3927	Homo sapiens	LIM and SH3 protein 1(LASP1)
EEF2K	29904	Homo sapiens	eukaryotic elongation factor 2 kinase(EEF2K)
GRM7	2917	Homo sapiens	glutamate metabotropic receptor 7(GRM7)
GRM8	2918	Homo sapiens	glutamate metabotropic receptor 8(GRM8)
SUN2	25777	Homo sapiens	Sad1 and UNC84 domain containing 2(SUN2)
SUN1	23353	Homo sapiens	Sad1 and UNC84 domain containing 1(SUN1)
ATP6AP1	537	Homo sapiens	ATPase H+ transporting accessory protein 1(ATP6AP1)
TTC33	23548	Homo sapiens	tetratricopeptide repeat domain 33(TTC33)
ATP6AP2	10159	Homo sapiens	ATPase H+ transporting accessory protein 2(ATP6AP2)
HUNK	30811	Homo sapiens	hormonally up-regulated Neu-associated kinase(HUNK)
SYNGR3	9143	Homo sapiens	synaptogyrin 3(SYNGR3)
SHROOM4	57477	Homo sapiens	shroom family member 4(SHROOM4)
ETV5	2119	Homo sapiens	ETS variant transcription factor 5(ETV5)
ETV6	2120	Homo sapiens	ETS variant transcription factor 6(ETV6)
ELF2	1998	Homo sapiens	E74 like ETS transcription factor 2(ELF2)
IFT43	112752	Homo sapiens	intraflagellar transport 43(IFT43)
GFOD1	54438	Homo sapiens	Gfo/Idh/MocA-like oxidoreductase domain containing 1(GFOD1)
EEF1D	1936	Homo sapiens	eukaryotic translation elongation factor 1 delta(EEF1D)
MRPS30-DT	100506674	Homo sapiens	MRPS30 divergent transcript(MRPS30-DT)
GFOD2	81577	Homo sapiens	Gfo/Idh/MocA-like oxidoreductase domain containing 2(GFOD2)
DIPK2A	205428	Homo sapiens	divergent protein kinase domain 2A(DIPK2A)
ZMYND11	10771	Homo sapiens	zinc finger MYND-type containing 11(ZMYND11)
SHANK3	85358	Homo sapiens	SH3 and multiple ankyrin repeat domains 3(SHANK3)
SHANK2	22941	Homo sapiens	SH3 and multiple ankyrin repeat domains 2(SHANK2)
SHANK1	50944	Homo sapiens	SH3 and multiple ankyrin repeat domains 1(SHANK1)
PLEC	5339	Homo sapiens	plectin(PLEC)
RALA	5898	Homo sapiens	RAS like proto-oncogene A(RALA)
SFSWAP	6433	Homo sapiens	splicing factor SWAP(SFSWAP)
CBL	867	Homo sapiens	Cbl proto-oncogene(CBL)
NT5C2	22978	Homo sapiens	5'-nucleotidase, cytosolic II(NT5C2)
CYTH3	9265	Homo sapiens	cytohesin 3(CYTH3)
POLD3	10714	Homo sapiens	DNA polymerase delta 3, accessory subunit(POLD3)
CAND2	23066	Homo sapiens	cullin associated and neddylation dissociated 2 (putative)(CAND2)
CAND1	55832	Homo sapiens	cullin associated and neddylation dissociated 1(CAND1)
SV2B	9899	Homo sapiens	synaptic vesicle glycoprotein 2B(SV2B)
CNR1	1268	Homo sapiens	cannabinoid receptor 1(CNR1)
SV2A	9900	Homo sapiens	synaptic vesicle glycoprotein 2A(SV2A)
OXCT1	5019	Homo sapiens	3-oxoacid CoA-transferase 1(OXCT1)
TGS1	96764	Homo sapiens	trimethylguanosine synthase 1(TGS1)
MVB12B	89853	Homo sapiens	multivesicular body subunit 12B(MVB12B)
CLVS2	134829	Homo sapiens	clavesin 2(CLVS2)
SLIT1	6585	Homo sapiens	slit guidance ligand 1(SLIT1)
PTK2B	2185	Homo sapiens	protein tyrosine kinase 2 beta(PTK2B)
DROSHA	29102	Homo sapiens	drosha ribonuclease III(DROSHA)
RALY	22913	Homo sapiens	RALY heterogeneous nuclear ribonucleoprotein(RALY)
SLIT3	6586	Homo sapiens	slit guidance ligand 3(SLIT3)
SLIT2	9353	Homo sapiens	slit guidance ligand 2(SLIT2)
MTA3	57504	Homo sapiens	metastasis associated 1 family member 3(MTA3)
CYTH1	9267	Homo sapiens	cytohesin 1(CYTH1)
CLVS1	157807	Homo sapiens	clavesin 1(CLVS1)
TTC14	151613	Homo sapiens	tetratricopeptide repeat domain 14(TTC14)
TTC13	79573	Homo sapiens	tetratricopeptide repeat domain 13(TTC13)
URGCP	55665	Homo sapiens	upregulator of cell proliferation(URGCP)
BNIP3	664	Homo sapiens	BCL2 interacting protein 3(BNIP3)
CCK	885	Homo sapiens	cholecystokinin(CCK)
HS3ST5	222537	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)
HS3ST4	9951	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 4(HS3ST4)
TTC19	54902	Homo sapiens	tetratricopeptide repeat domain 19(TTC19)
YY1AP1	55249	Homo sapiens	YY1 associated protein 1(YY1AP1)
MIR9-3HG	254559	Homo sapiens	MIR9-3 host gene(MIR9-3HG)
HS3ST2	9956	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 2(HS3ST2)
TTC17	55761	Homo sapiens	tetratricopeptide repeat domain 17(TTC17)
ERCC3	2071	Homo sapiens	ERCC excision repair 3, TFIIH core complex helicase subunit(ERCC3)
TEF	7008	Homo sapiens	TEF transcription factor, PAR bZIP family member(TEF)
ERCC8	1161	Homo sapiens	ERCC excision repair 8, CSA ubiquitin ligase complex subunit(ERCC8)
ERCC5	2073	Homo sapiens	ERCC excision repair 5, endonuclease(ERCC5)
ERCC6	2074	Homo sapiens	ERCC excision repair 6, chromatin remodeling factor(ERCC6)
GPD1L	23171	Homo sapiens	glycerol-3-phosphate dehydrogenase 1 like(GPD1L)
FRMPD4	9758	Homo sapiens	FERM and PDZ domain containing 4(FRMPD4)
WIPF1	7456	Homo sapiens	WAS/WASL interacting protein family member 1(WIPF1)
WIPF2	147179	Homo sapiens	WAS/WASL interacting protein family member 2(WIPF2)
SMC5	23137	Homo sapiens	structural maintenance of chromosomes 5(SMC5)
SMC6	79677	Homo sapiens	structural maintenance of chromosomes 6(SMC6)
SLC4A4	8671	Homo sapiens	solute carrier family 4 member 4(SLC4A4)
CNST	163882	Homo sapiens	consortin, connexin sorting protein(CNST)
ALCAM	214	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
TFG	10342	Homo sapiens	trafficking from ER to golgi regulator(TFG)
MSANTD2	79684	Homo sapiens	Myb/SANT DNA binding domain containing 2(MSANTD2)
ZMIZ1	57178	Homo sapiens	zinc finger MIZ-type containing 1(ZMIZ1)
EVA1C	59271	Homo sapiens	eva-1 homolog C(EVA1C)
LUC7L	55692	Homo sapiens	LUC7 like(LUC7L)
VPS35	55737	Homo sapiens	VPS35 retromer complex component(VPS35)
VPS36	51028	Homo sapiens	vacuolar protein sorting 36 homolog(VPS36)
VPS39	23339	Homo sapiens	VPS39 subunit of HOPS complex(VPS39)
NUP214	8021	Homo sapiens	nucleoporin 214(NUP214)
MBNL1	4154	Homo sapiens	muscleblind like splicing regulator 1(MBNL1)
PRKCI	5584	Homo sapiens	protein kinase C iota(PRKCI)
MBNL2	10150	Homo sapiens	muscleblind like splicing regulator 2(MBNL2)
